acceleration_x,acceleration_y,acceleration_z,angular_rotation_x,angular_rotation_y,angular_rotation_z,label
-0.265938,-1.174842,0.123713,-19.937868,30.433199,-4.898043,walking forward
-0.002673,-0.83904,0.068713,-61.295837,84.684822,-3.711855,walking forward
0.140592,-0.949018,-0.00302,-60.947296,62.846222,-32.562092,walking forward
-0.196149,-1.179997,0.88054,-14.481159,-30.614597,19.22197,walking forward
0.114324,-0.573918,0.301621,72.006706,-55.983082,22.875675,walking forward
0.111553,-1.329427,0.033051,119.353104,-101.866623,49.964184,walking forward
-0.162386,-1.041381,0.101152,-23.444292,11.85577,-36.2211,walking forward
-0.098665,-0.865414,0.072509,-56.651146,33.965275,1.480667,walking forward
0.022947,-0.862516,-0.016462,-78.438087,45.413666,-30.610617,walking forward
-0.142968,-0.990948,0.813908,47.895107,-32.746105,28.899508,walking forward
-0.020796,-0.516739,0.384207,20.742487,-34.87352,8.748433,walking forward
0.245341,-1.183449,0.285129,139.142776,11.575576,15.102069,walking forward
-0.206336,-1.226472,0.190576,3.711498,37.450123,3.511811,walking forward
-0.17742,-0.8767,0.077677,-54.539009,64.322441,-21.7911,walking forward
-0.242843,-0.927091,0.149597,-136.506439,-30.061544,-2.758035,walking forward
0.271986,-1.146296,0.368706,-27.421753,27.473774,-20.29233,walking forward
-0.244631,-0.621642,0.728196,-95.573883,-39.161499,15.195461,walking forward
-0.081902,-0.606643,0.215255,104.854828,-97.064796,49.702335,walking forward
0.322126,-1.428795,0.228675,137.503464,26.545361,42.974586,walking forward
-0.221785,-1.128294,0.204506,-25.238985,24.783577,-3.225012,walking forward
-0.273959,-0.877984,0.147026,-60.948456,39.044537,-41.087051,walking forward
-0.083948,-0.918732,0.226769,-109.546379,35.102306,-19.630411,walking forward
0.180847,-0.97026,0.021537,-52.179523,38.981468,-39.205227,walking forward
-0.063124,-1.114886,0.989099,34.019135,-52.834061,23.727222,walking forward
-0.073999,-0.472098,0.471299,-76.042473,-25.148529,12.341509,walking forward
0.027895,-0.331368,0.250505,48.564411,-52.379654,20.827251,walking forward
-0.047446,-0.852415,0.168427,152.011581,23.895943,20.133142,walking forward
0.137414,-1.352315,0.05004,116.002144,-85.251022,53.095642,walking forward
-0.310749,-1.189172,0.19901,-13.170869,17.401934,-9.872434,walking forward
-0.197732,-0.937736,0.151764,-58.090675,27.964561,-45.754242,walking forward
-0.046381,-0.816483,0.094862,-57.687653,56.20433,-15.71513,walking forward
-0.038203,-0.876244,0.131814,-93.812439,18.126869,-6.960254,walking forward
0.121553,-0.972843,0.0259,-44.300129,77.692863,-38.586899,walking forward
0.087265,-0.79375,0.79144,14.981985,-13.779202,16.6789,walking forward
0.024583,-0.520976,0.534024,-76.162086,-9.564565,6.469387,walking forward
0.012887,-0.499182,0.243208,107.990921,-71.694107,26.727287,walking forward
0.28291,-1.210058,0.217246,142.799683,41.518887,17.283285,walking forward
-0.056769,-1.176566,0.019009,95.607674,-59.92667,49.48988,walking forward
-0.366435,-1.295647,0.239712,2.630214,8.167536,2.220859,walking forward
-0.233195,-0.933895,0.133822,-54.025959,46.423229,-36.411186,walking forward
-0.065999,-0.807296,0.191651,-87.773666,2.839223,15.568336,walking forward
